name_ru	name_eng	date	vote
Ларс и настоящая девушка (2007)	Lars and the Real Girl	29.01.2018, 21:07	7
Субурбикон (2017)	Suburbicon	28.01.2018, 22:26	8
Движение вверх (2017)	 	28.01.2018, 19:42	8
Слизняк (2006)	Slither	26.01.2018, 20:02	5
Скука (1963)	La noia	25.01.2018, 23:03	7
Смерть в этом саду (1956)	La mort en ce jardin	21.01.2018, 23:34	7
Высшая лига (1989)	Major League	21.01.2018, 19:34	7
Ты – мне, я – тебе (2017)	Person to Person	17.01.2018, 23:41	7
11.22.63 (мини-сериал, 2016)	11.22.63	14.01.2018, 10:27	8
Горничная Линн (2014)	Das Zimmermädchen Lynn	13.01.2018, 18:25	5
Романс Х (1999)	Romance	12.01.2018, 23:21	6
Вышибала: Эпический замес (2016)	Goon: Last of the Enforcers	12.01.2018, 23:17	7
Вышибала (2011)	Goon	12.01.2018, 20:27	8
Ноябрьские преступники (2017)	November Criminals	11.01.2018, 21:59	5
Охотники за привидениями (2016)	Ghostbusters	10.01.2018, 23:29	7
Легенда №17 (2012)	 	09.01.2018, 20:54	6
Бен-Гур (2016)	Ben-Hur	09.01.2018, 01:23	6
Валериан и город тысячи планет (2017)	Valerian and the City of a Thousand Planets	08.01.2018, 21:22	7
Я люблю тебя, папочка (2017)	I Love You, Daddy	06.01.2018, 20:43	8
Пало-Альто (2013)	Palo Alto	05.01.2018, 12:52	7
Во всем виноват енот (2016)	Wakefield	03.01.2018, 22:42	7
Плохое сердце Бастера (2017)	Buster's Mal Heart	02.01.2018, 22:08	6
Сенсация (2006)	Scoop	31.12.2017, 19:31	9
Призрак в доспехах (2017)	Ghost in the Shell	30.12.2017, 21:50	8
Снеговик (2017)	The Snowman	30.12.2017, 21:49	5
Как Витька Чеснок вёз Лёху Штыря в дом инвалидов (2017)	 	20.12.2017, 22:42	7
Живое (2017)	Life	17.12.2017, 21:25	7
Медвежонок Бригсби (2017)	Brigsby Bear	19.11.2017, 22:45	8
Аритмия (2017)	 	18.11.2017, 23:55	9
Ингрид едет на Запад (2017)	Ingrid Goes West	12.11.2017, 21:14	7
Новизна (2017)	Newness	12.11.2017, 21:12	6
42 (2013)	42	03.11.2017, 23:14	7
Джиперс Криперс 3 (2017)	Jeepers Creepers 3	03.11.2017, 23:12	4
Бейсбольная лихорадка (2005)	Fever Pitch	08.10.2017, 21:18	8
Нерв (2016)	Nerve	08.10.2017, 21:17	6
Бегущий по лезвию 2049 (2017)	Blade Runner 2049	06.10.2017, 00:49	9
Очень плохие девчонки (2017)	Rough Night	22.09.2017, 21:56	7
Малыш на драйве (2017)	Baby Driver	22.09.2017, 17:37	7
Как организовать оргию в небольшом городке (2015)	How to Plan an Orgy in a Small Town	22.09.2017, 17:36	7
Сербский фильм (2010)	Srpski film	22.09.2017, 17:34	1
2pac: Легенда (2017)	All Eyez on Me	20.09.2017, 18:28	7
Оно (1990)	It	17.09.2017, 10:28	6
Оно (2017)	It	13.09.2017, 18:47	8
Чужой: Завет (2017)	Alien: Covenant	09.09.2017, 21:48	8
Полтора шпиона (2016)	Central Intelligence	09.09.2017, 21:45	7
Обитель зла: Вендетта (2017)	Resident Evil: Vendetta	09.09.2017, 21:42	5
Тетрадь смерти (2017)	Death Note	26.08.2017, 23:43	3
Т2 Трейнспоттинг (На игле 2) (2017)	T2 Trainspotting	30.07.2017, 18:40	7
Его собачье дело (2016)	Once Upon a Time in Venice	20.07.2017, 09:25	8
Черная кошка, белый кот (1998)	Crna mačka, beli mačor	15.07.2017, 20:27	9
Помнишь ли, Долли Белл? (1981)	Sjecas li se, Dolly Bell	10.07.2017, 22:47	7
Андеграунд (1995)	Underground	09.07.2017, 19:26	10
Завет (2007)	Zavet	08.07.2017, 21:09	9
По млечному пути (2016)	On the Milky Road	06.07.2017, 23:23	7
Елена (2011)	 	11.06.2017, 00:18	8
Чудо-женщина (2017)	Wonder Woman	04.06.2017, 23:04	7
Бесславные ублюдки (2009)	Inglourious Basterds	09.05.2017, 22:43	8
Смерть ей к лицу (1992)	Death Becomes Her	09.05.2017, 22:40	7
Золото (2016)	Gold	23.04.2017, 13:45	8
Сплит (2017)	Split	09.04.2017, 21:04	6
Почему он? (2016)	Why Him?	09.04.2017, 21:03	8
Обитель зла: Последняя глава (2016)	Resident Evil: The Final Chapter	09.04.2017, 20:59	2
Под покровом ночи (2016)	Nocturnal Animals	21.03.2017, 23:05	7
Свадебный угар (2016)	Mike and Dave Need Wedding Dates	20.03.2017, 23:00	7
Кредо убийцы (2016)	Assassin's Creed	12.03.2017, 23:39	6
О, где же ты, брат? (2000)	O Brother, Where Art Thou?	06.03.2017, 23:21	8
Йоганутые (2015)	Yoga Hosers	05.03.2017, 23:05	8
Капитан Фантастик (2016)	Captain Fantastic	01.03.2017, 23:19	7
Майор Гром (2017)	 	25.02.2017, 23:30	8
По соображениям совести (2016)	Hacksaw Ridge	08.02.2017, 23:34	7
Конь БоДжек (сериал, 2014 – 2020)	BoJack Horseman	05.02.2017, 19:51	9
День сурка (1993)	Groundhog Day	03.02.2017, 00:07	8
Полный расколбас (2016)	Sausage Party	02.02.2017, 01:11	7
Прибытие (2016)	Arrival	31.01.2017, 21:10	5
Расплата (2016)	The Accountant	16.01.2017, 00:10	7
Проще простого (сериал, 2016 – 2019)	Easy	13.01.2017, 14:07	6
Мисс Переполох (2014)	She's Funny That Way	13.01.2017, 14:04	7
Ведьма из Блэр: Новая глава (2016)	Blair Witch	05.01.2017, 12:13	6
Футбольные гладиаторы (2009)	Awaydays	02.01.2017, 20:33	7
Поп-звезда: не переставай, не останавливайся (2016)	Popstar: Never Stop Never Stopping	02.01.2017, 20:33	7
Изгой-один: Звёздные войны. Истории (2016)	Rogue One	18.12.2016, 16:27	9
Неоновый демон (2016)	The Neon Demon	30.09.2016, 22:27	8
Отмель (2016)	The Shallows	29.09.2016, 21:56	7
Безумный Макс 2: Воин дороги (1981)	Mad Max 2	22.09.2016, 21:58	8
Соседи. На тропе войны 2 (2016)	Neighbors 2: Sorority Rising	11.08.2016, 22:25	7
Славные парни (2016)	The Nice Guys	31.07.2016, 00:13	9
Монстро (2007)	Cloverfield	27.07.2016, 22:55	8
Экипаж (2016)	 	10.07.2016, 14:24	8
Зеленая комната (2015)	Green Room	08.07.2016, 22:25	7
Человек – швейцарский нож (2016)	Swiss Army Man	01.07.2016, 23:28	10
Хардкор (2016)	 	26.06.2016, 14:03	6
Фрэнк (2013)	Frank	12.06.2016, 15:05	7
13 часов: Тайные солдаты Бенгази (2015)	13 Hours	08.06.2016, 23:05	3
Ночи Кабирии (1957)	Le notti di Cabiria	02.06.2016, 13:04	7
Варкрафт (2016)	Warcraft	31.05.2016, 13:49	8
Братья из Гримсби (2016)	Grimsby	31.05.2016, 13:42	8
Музыкальный блог Доктора Ужасного (мини-сериал, 2008)	Dr. Horrible's Sing-Along Blog	20.05.2016, 22:39	8
Кловерфилд, 10 (2016)	10 Cloverfield Lane	20.05.2016, 22:36	8
Пациенты (2014)	 	14.05.2016, 01:27	7
Дождь сверху вниз (2008)	 	08.05.2016, 02:00	9
Уолл Стрит: Деньги не спят (2010)	Wall Street: Money Never Sleeps	07.05.2016, 02:29	6
Первый мститель: Противостояние (2016)	Captain America: Civil War	06.05.2016, 19:06	8
Заложница (2007)	Taken	06.05.2016, 02:18	7
Ведьма (2015)	The VVitch: A New-England Folktale	04.05.2016, 23:19	6
Да здравствует Цезарь! (2016)	Hail, Caesar!	28.04.2016, 23:34	7
Нарушая запреты (1999)	Tra(sgre)dire	27.04.2016, 00:11	6
Здравствуй, папа, Новый год! (2015)	Daddy's Home	24.04.2016, 21:08	7
Черные праздники (2015)	Holidays	20.04.2016, 23:14	7
Падение Лондона (2015)	London Has Fallen	19.04.2016, 22:40	5
Дедушка легкого поведения (2015)	Dirty Grandpa	17.04.2016, 23:00	8
Артист (2011)	The Artist	17.04.2016, 01:15	7
Три девятки (2015)	Triple 9	08.04.2016, 23:23	6
Виноваты звезды (2014)	The Fault in Our Stars	03.04.2016, 22:07	5
Хранилище 13 (сериал, 2009 – 2014)	Warehouse 13	03.04.2016, 00:49	8
Битва за огонь (1981)	La guerre du feu	02.04.2016, 01:46	7
День выборов 2 (2015)	 	01.04.2016, 22:19	7
Возвращение Супермена (2006)	Superman Returns	30.03.2016, 00:09	7
Мистер Робот (сериал, 2015 – 2019)	Mr. Robot	26.03.2016, 23:05	9
5-я волна (2016)	The 5th Wave	26.03.2016, 00:23	3
Зверополис (2016)	Zootopia	23.03.2016, 00:49	8
Джейн берет ружье (2015)	Jane Got a Gun	21.03.2016, 23:17	6
Убийца (2015)	Sicario	18.03.2016, 23:42	8
Холодная гора (2003)	Cold Mountain	16.03.2016, 23:56	9
Рождество (2015)	The Night Before	15.03.2016, 23:40	8
Иерей-сан. Исповедь самурая (2015)	 	13.03.2016, 21:26	7
Внутри Льюина Дэвиса (2012)	Inside Llewyn Davis	13.03.2016, 19:18	8
Игра на понижение (2015)	The Big Short	10.03.2016, 23:54	8
В центре внимания (2015)	Spotlight	07.03.2016, 20:10	7
Про Любовь (2015)	 	06.03.2016, 23:29	8
Омерзительная восьмерка (2015)	The Hateful Eight	06.03.2016, 00:42	9
1210 (2012)	 	05.03.2016, 01:29	8
Крадущийся тигр, затаившийся дракон: Меч судьбы (2015)	Crouching Tiger, Hidden Dragon: Sword of Destiny	03.03.2016, 23:08	7
Из машины (2014)	Ex Machina	01.03.2016, 23:40	8
Мистер Холмс (2015)	Mr. Holmes	28.02.2016, 22:29	8
В сердце моря (2015)	In the Heart of the Sea	26.02.2016, 23:45	7
Секретные материалы (сериал, 2015 – 2018)	The X-Files	24.02.2016, 23:36	8
Секретные материалы (сериал, 1993 – 2018)	The X Files	24.02.2016, 23:35	10
Дело № 306 (1956)	 	24.02.2016, 01:36	7
Пятьдесят оттенков черного (2016)	Fifty Shades of Black	23.02.2016, 23:16	4
Отличница лёгкого поведения (2010)	Easy A	21.02.2016, 23:44	7
Из Африки (1985)	Out of Africa	21.02.2016, 01:47	7
Туман (2005)	The Fog	20.02.2016, 02:03	6
Туман (1980)	The Fog	20.02.2016, 02:02	8
Друзья (сериал, 1994 – 2004)	Friends	20.02.2016, 01:53	9
Лунная афера (2015)	Moonwalkers	19.02.2016, 00:17	7
Краденое свидание (2015)	Man Up	19.02.2016, 00:16	8
Шпионский мост (2015)	Bridge of Spies	14.02.2016, 23:01	9
Снупи и мелочь пузатая в кино (2015)	The Peanuts Movie	14.02.2016, 22:58	8
Лобстер (2015)	The Lobster	13.02.2016, 21:18	7
Дэдпул (2016)	Deadpool	13.02.2016, 20:50	8
Чудо (2009)	 	13.02.2016, 02:01	7
Лес призраков (2015)	The Forest	12.02.2016, 22:46	3
Стив Джобс (2015)	Steve Jobs	09.02.2016, 23:45	6
Вылет задерживается (1974)	 	08.02.2016, 01:55	7
Комната страха (2002)	Panic Room	07.02.2016, 20:01	7
Девушка из Дании (2015)	The Danish Girl	06.02.2016, 20:09	7
Иваново детство (1962)	 	05.02.2016, 19:48	8
Миссия в Майами (2015)	Ride Along 2	03.02.2016, 23:22	5
Саранча (2013)	 	01.02.2016, 17:44	7
Россия 88 (2009)	 	01.02.2016, 16:45	8
Самый лучший день (2015)	 	31.01.2016, 23:34	7
Совместная поездка (2013)	Ride Along	31.01.2016, 23:32	6
Код Да Винчи (2006)	The Da Vinci Code	31.01.2016, 01:48	6
Голод (1983)	The Hunger	25.01.2016, 23:12	8
Судный день (2008)	Doomsday	24.01.2016, 23:33	4
Секретные материалы: Хочу верить (2008)	The X-Files: I Want to Believe	24.01.2016, 20:02	7
Привидение (1990)	Ghost	22.01.2016, 23:37	8
Подмена (2008)	Changeling	20.01.2016, 23:05	8
007: СПЕКТР (2015)	Spectre	19.01.2016, 22:59	7
Любовь без обязательств (2015)	Sleeping with Other People	18.01.2016, 22:52	2
Тринадцатая сказка (2013)	The Thirteenth Tale	18.01.2016, 22:45	6
Русалка (2007)	 	18.01.2016, 22:44	7
Страна ОЗ (2015)	 	17.01.2016, 21:15	8
Элизиум: Рай не на Земле (2013)	Elysium	17.01.2016, 16:25	7
Зов Ктулху (2005)	The Call of Cthulhu	16.01.2016, 22:38	7
Гарри Поттер и философский камень (2001)	Harry Potter and the Sorcerer's Stone	15.01.2016, 22:58	8
Бойфренд из будущего (2013)	About Time	14.01.2016, 22:48	8
Легенда (2015)	Legend	13.01.2016, 23:16	8
Хранители снов (2012)	Rise of the Guardians	13.01.2016, 23:15	8
Человек-муравей (2015)	Ant-Man	12.01.2016, 22:44	7
Оно (2014)	It Follows	11.01.2016, 23:20	7
Приключения Электроника (мини-сериал, 1979)	 	10.01.2016, 16:17	8
Черепашки-ниндзя (2014)	Teenage Mutant Ninja Turtles	10.01.2016, 00:23	6
Любовь (2015)	Love	09.01.2016, 21:41	6
Выживший (2015)	The Revenant	09.01.2016, 21:29	8
Новый Человек-паук: Высокое напряжение (2014)	The Amazing Spider-Man 2	09.01.2016, 01:40	6
Счастливого рождества, мистер Лоуренс (1982)	Merry Christmas Mr. Lawrence	08.01.2016, 23:10	8
Красавица и чудовище (2014)	La belle et la bête	07.01.2016, 01:01	6
Образцовый самец (2001)	Zoolander	07.01.2016, 00:57	6
Три плюс два (1963)	 	07.01.2016, 00:56	8
Шеф Адам Джонс (2015)	Burnt	04.01.2016, 17:41	7
Реальная любовь (2003)	Love Actually	04.01.2016, 00:07	9
Майор Пэйн (1995)	Major Payne	02.01.2016, 23:53	6
Ирония судьбы. Продолжение (2007)	 	02.01.2016, 23:52	5
Шерлок (сериал, 2010 – 2017)	Sherlock	02.01.2016, 01:48	9
Ирония судьбы, или С легким паром! (1975)	 	02.01.2016, 01:38	8
Вокзал для двоих (1982)	 	02.01.2016, 01:32	7
Эверест (2015)	Everest	28.12.2015, 23:10	8
Марсианин (2015)	The Martian	27.12.2015, 21:54	7
Нелепая шестёрка (2015)	The Ridiculous 6	19.12.2015, 13:30	5
Костяной томагавк (2015)	Bone Tomahawk	14.12.2015, 00:26	7
Прогулка (2015)	The Walk	11.12.2015, 01:02	6
Голос улиц (2015)	Straight Outta Compton	07.12.2015, 23:54	9
Всё могу (2015)	Absolutely Anything	29.11.2015, 22:57	8
Вне/себя (2015)	Self/less	27.11.2015, 00:21	8
Фанатик (2001)	The Believer	26.11.2015, 14:55	7
Выхода нет (2014)	No Escape	24.11.2015, 23:24	6
Лок (2013)	Locke	21.11.2015, 00:17	7
Стрингер (2013)	Nightcrawler	19.11.2015, 23:55	7
Голодные игры: Сойка-пересмешница. Часть II (2015)	The Hunger Games: Mockingjay - Part 2	19.11.2015, 23:53	7
Голодные игры: Сойка-пересмешница. Часть I (2014)	The Hunger Games: Mockingjay - Part 1	18.11.2015, 00:29	7
Голодные игры: И вспыхнет пламя (2013)	The Hunger Games: Catching Fire	17.11.2015, 00:22	6
Энни Холл (1977)	Annie Hall	15.11.2015, 01:54	7
Агенты А.Н.К.Л. (2015)	The Man from U.N.C.L.E.	05.11.2015, 23:06	8
Мешки для трупов (1993)	Body Bags	01.11.2015, 01:50	7
Секретные материалы: Борьба за будущее (1998)	The X Files	28.10.2015, 23:42	7
Миссия невыполнима: Племя изгоев (2015)	Mission: Impossible - Rogue Nation	26.10.2015, 00:04	7
Дрожь земли 5: Кровное родство (2015)	Tremors 5: Bloodlines	19.10.2015, 21:13	6
Убрать из друзей (2015)	Unfriended	11.10.2015, 20:50	4
Нарко (сериал, 2015 – 2017)	Narcos	11.10.2015, 01:52	9
Измены (сериал, 2015)	 	11.10.2015, 01:50	7
Алоха (2015)	Aloha	05.10.2015, 12:27	7
Земля будущего (2015)	Tomorrowland	25.09.2015, 23:16	7
Ультраамериканцы (2015)	American Ultra	21.09.2015, 23:18	6
Вики Кристина Барселона (2008)	Vicky Cristina Barcelona	17.09.2015, 19:05	8
Разлом Сан-Андреас (2015)	San Andreas	13.09.2015, 23:00	8
Корабль-призрак (2002)	Ghost Ship	12.09.2015, 17:03	6
История дельфина 2 (2014)	Dolphin Tale 2	12.09.2015, 00:11	7
Марли и я (2008)	Marley & Me	12.09.2015, 00:04	8
Мгла (2007)	The Mist	12.09.2015, 00:04	7
Захватывающее время (2013)	The Spectacular Now	11.09.2015, 10:51	7
История дельфина (2011)	Dolphin Tale	09.09.2015, 23:50	8
Мы – Миллеры (2013)	We're the Millers	06.09.2015, 16:53	8
Проект X: Дорвались (2012)	Project X	06.09.2015, 16:50	6
Иррациональный человек (2015)	Irrational Man	04.09.2015, 00:48	7
Мстители: Эра Альтрона (2015)	Avengers: Age of Ultron	24.08.2015, 00:15	7
Мордекай (2015)	Mortdecai	22.08.2015, 01:30	8
Бэйб: Четвероногий малыш (1995)	Babe	22.08.2015, 01:29	9
Этот неловкий момент (2014)	That Awkward Moment	20.08.2015, 23:34	8
Типа копы (2014)	Let's Be Cops	20.08.2015, 23:33	7
Одержимость (2013)	Whiplash	20.08.2015, 23:28	8
Совершенный мир (1993)	A Perfect World	14.08.2015, 19:06	8
Звёздные войны: Эпизод 5 – Империя наносит ответный удар (1980)	Star Wars: Episode V - The Empire Strikes Back	14.08.2015, 19:06	10
Апокалипсис сегодня (1979)	Apocalypse Now	14.08.2015, 19:04	10
Планета Ка-Пэкс (2001)	K-PAX	14.08.2015, 19:03	9
Могила светлячков (1988)	Hotaru no haka	14.08.2015, 18:57	10
Назад в будущее 2 (1989)	Back to the Future Part II	14.08.2015, 18:50	10
Эффект бабочки (2003)	The Butterfly Effect	14.08.2015, 18:47	9
Спасти рядового Райана (1998)	Saving Private Ryan	14.08.2015, 18:46	10
Укрощение строптивого (1980)	Il bisbetico domato	14.08.2015, 18:46	8
Изгой (2000)	Cast Away	14.08.2015, 18:44	8
Собачье сердце (1988)	 	14.08.2015, 18:43	9
Хэллоуин (1978)	Halloween	13.08.2015, 18:18	9
Самый пьяный округ в мире (2012)	Lawless	13.08.2015, 18:16	7
Большой переполох в маленьком Китае (1986)	Big Trouble in Little China	09.08.2015, 23:47	9
Черный ястреб (2001)	Black Hawk Down	07.08.2015, 00:52	9
Номер 44 (2014)	Child 44	07.08.2015, 00:47	5
7 дней в аду (2015)	7 Days in Hell	04.08.2015, 22:29	7
Чужие среди нас (1988)	They Live	02.08.2015, 23:31	8
Дневник памяти (2004)	The Notebook	01.08.2015, 20:57	8
Третий лишний 2 (2015)	Ted 2	27.07.2015, 22:03	5
Батальонъ (2014)	 	24.07.2015, 23:53	7
Пиксели (2015)	Pixels	24.07.2015, 23:51	7
Дикая (2014)	Wild	05.07.2015, 00:02	6
Терминатор: Генезис (2015)	Terminator Genisys	04.07.2015, 01:12	8
А зори здесь тихие... (2015)	 	26.06.2015, 00:11	7
Факап, или Хуже не бывает (2014)	Nicht mein Tag	22.06.2015, 00:35	7
Мир Юрского периода (2015)	Jurassic World	17.06.2015, 20:59	7
Парк Юрского периода (1993)	Jurassic Park	11.06.2015, 22:54	10
Кунг Фьюри (2015)	Kung Fury	11.06.2015, 00:23	8
Влюбись в меня, если осмелишься (2003)	Jeux d'enfants	09.06.2015, 00:20	8
Джеки в царстве женщин (2013)	Jacky au royaume des filles	09.06.2015, 00:19	7
Робот по имени Чаппи (2015)	Chappie	07.06.2015, 00:49	8
Пятьдесят оттенков серого (2015)	Fifty Shades of Grey	04.06.2015, 09:28	4
Безумный Макс (1979)	Mad Max	28.05.2015, 00:03	7
Форсаж 7 (2015)	Fast & Furious 7	23.05.2015, 00:04	4
Восхождение Юпитер (2015)	Jupiter Ascending	15.05.2015, 21:47	6
Kingsman: Секретная служба (2015)	Kingsman: The Secret Service	11.05.2015, 01:14	7
Битва за Севастополь (2015)	 	04.05.2015, 23:00	6
Интимные места (2013)	 	25.04.2015, 21:59	6
Снайпер (2014)	American Sniper	16.04.2015, 23:21	8
Мад (2012)	Mud	13.04.2015, 22:26	8
Линкольн для адвоката (2011)	The Lincoln Lawyer	11.04.2015, 23:32	8
Как поймать монстра (2014)	Lost River	08.04.2015, 22:07	8
Сапожник (2014)	The Cobbler	25.03.2015, 23:09	7
Пирамида (2014)	The Pyramid	15.03.2015, 22:27	6
Исход: Цари и боги (2014)	Exodus: Gods and Kings	09.03.2015, 23:09	6
Вселенная Стивена Хокинга (2014)	The Theory of Everything	06.03.2015, 23:32	8
Изгоняющий дьявола (1973)	The Exorcist	01.03.2015, 01:24	8
Джон Уик (2014)	John Wick	26.02.2015, 00:17	6
Эта дурацкая любовь (2011)	Crazy, Stupid, Love.	22.02.2015, 23:51	7
Игра Эндера (2013)	Ender's Game	20.02.2015, 23:09	7
Тупой и еще тупее 2 (2014)	Dumb and Dumber To	10.02.2015, 22:45	7
Далласский клуб покупателей (2013)	Dallas Buyers Club	09.02.2015, 22:38	8
Бёрдмэн (2014)	Birdman or (The Unexpected Virtue of Ignorance)	07.02.2015, 00:02	9
Только бог простит (2012)	Only God Forgives	01.02.2015, 23:01	7
Соседи. На тропе войны (2014)	Neighbors	01.02.2015, 18:36	7
Валентинка (2010)	Blue Valentine	31.01.2015, 18:29	9
Место под соснами (2012)	The Place Beyond the Pines	31.01.2015, 01:17	10
Дракула (2014)	Dracula Untold	26.01.2015, 23:48	6
Репортаж (2007)	[Rec]	24.01.2015, 21:16	9
Репортаж из преисподней (2009)	[Rec]²	24.01.2015, 21:16	8
Репортаж: Апокалипсис (2014)	[REC] 4: Apocalipsis	24.01.2015, 21:15	6
Ёлки 1914 (2014)	 	24.01.2015, 01:48	8
Гость (2013)	The Guest	21.01.2015, 23:26	8
Путешествие Гектора в поисках счастья (2014)	Hector and the Search for Happiness	19.01.2015, 20:23	9
Сладкая жизнь (сериал, 2014 – 2016)	 	18.01.2015, 23:16	8
Левиафан (2014)	 	12.01.2015, 23:56	9
Кухня (сериал, 2012 – 2016)	 	12.01.2015, 07:17	7
Хиросима, моя любовь (1959)	Hiroshima mon amour	12.01.2015, 07:13	8
Мечтатели (2003)	The Dreamers	12.01.2015, 07:09	9
Полночь в Париже (2011)	Midnight in Paris	12.01.2015, 07:08	9
Интервью (2014)	The Interview	12.01.2015, 07:05	8
Время (2011)	In Time	10.01.2015, 21:17	6
Зелёный Шершень (2011)	The Green Hornet	10.01.2015, 00:30	7
Живая сталь (2011)	Real Steel	08.01.2015, 23:17	7
Август Раш (2007)	August Rush	07.01.2015, 23:59	8
Предложение (2009)	The Proposal	07.01.2015, 00:59	7
Милая Фрэнсис (2012)	Frances Ha	04.01.2015, 22:42	9
Голодные игры (2012)	The Hunger Games	01.01.2015, 22:36	6
Геракл (2014)	Hercules	01.01.2015, 13:20	7
Настоящий детектив (сериал, 2014 – ...)	True Detective	26.12.2014, 23:50	9
Доброе утро, Вьетнам (1987)	Good Morning, Vietnam	21.12.2014, 19:35	9
Бивень (2014)	Tusk	20.12.2014, 22:28	6
Исчезнувшая (2014)	Gone Girl	19.12.2014, 22:30	9
Страсти Дон Жуана (2013)	Don Jon	18.12.2014, 22:55	7
Скорый «Москва-Россия» (2014)	 	14.12.2014, 18:24	7
Газетчик (2012)	The Paperboy	13.12.2014, 23:49	6
Драйв (2011)	Drive	13.12.2014, 21:32	10
Любовь с первого взгляда (2014)	Two Night Stand	12.12.2014, 21:24	9
Будь моим парнем на пять минут (2008)	Nick and Norah's Infinite Playlist	30.11.2014, 17:05	10
Она (2013)	Her	30.11.2014, 17:05	8
Призраки бывших подружек (2009)	Ghosts of Girlfriends Past	23.11.2014, 12:47	8
Интерстеллар (2014)	Interstellar	13.11.2014, 20:10	10
Магия лунного света (2014)	Magic in the Moonlight	01.10.2014, 21:58	8
Поля смерти (1984)	The Killing Fields	28.09.2014, 02:34	9
Ветер крепчает (2013)	Kaze tachinu	11.09.2014, 00:59	8
Страна приливов (2005)	Tideland	12.08.2014, 07:18	7
Большая афера (2013)	The Grand Seduction	10.08.2014, 02:27	9
Need for Speed: Жажда скорости (2014)	Need for Speed	22.07.2014, 23:56	8
Пластик (2014)	Plastic	19.07.2014, 01:01	8
Брат (1997)	 	08.07.2014, 23:08	10
Брестская крепость (2010)	 	21.06.2014, 17:49	9
Годзилла (2014)	Godzilla	27.05.2014, 00:22	8
Курьер (1986)	 	25.05.2014, 19:29	9
Адмиралъ (2008)	 	07.05.2014, 23:29	8
Конец света 2013: Апокалипсис по-голливудски (2013)	This Is the End	03.05.2014, 02:26	8
Армагеддон (1998)	Armageddon	03.05.2014, 02:25	8
Олимпиус Инферно (2009)	 	22.04.2014, 23:00	7
Армагеддец (2013)	The World's End	09.04.2014, 23:50	8
Собутыльники (2013)	Drinking Buddies	06.04.2014, 22:49	8
Волк с Уолл-стрит (2013)	The Wolf of Wall Street	06.04.2014, 18:33	9
Годзилла (1954)	Gojira	06.04.2014, 00:53	7
Дом с паранормальными явлениями (2013)	A Haunted House	05.04.2014, 23:15	4
Рыцари королевства Крутизны (2012)	Knights of Badassdom	05.04.2014, 22:46	6
Географ глобус пропил (2013)	 	03.04.2014, 20:34	8
Воровка книг (2013)	The Book Thief	02.04.2014, 00:39	8
Сакко и Ванцетти (1971)	Sacco e Vanzetti	29.03.2014, 20:48	9
Рок-волна (2009)	The Boat That Rocked	29.03.2014, 16:50	9
Королевство полной луны (2012)	Moonrise Kingdom	29.03.2014, 16:49	8
Отель «Гранд Будапешт» (2014)	The Grand Budapest Hotel	26.03.2014, 22:53	9
В пасти безумия (1994)	In the Mouth of Madness	22.03.2014, 23:23	7
Гагарин. Первый в космосе (2013)	 	12.02.2014, 20:30	7
Я шагаю по Москве (1963)	 	12.02.2014, 20:24	9
Закрытые пространства (2008)	 	08.02.2014, 20:39	8
Мобильный воин Гандам Зета (сериал, 1985 – 1986)	Kidô senshi Z Gundam	28.01.2014, 18:13	8
Мобильный воин Гандам 0083: Память о Звездной пыли (сериал, 1991 – 1992)	Kidô senshi Gundam 0083: Stardust Memory	14.01.2014, 21:00	8
Человек из стали (2013)	Man of Steel	05.01.2014, 22:25	6
Железный человек 3 (2013)	Iron Man Three	05.01.2014, 22:25	8
Сталинград (2013)	 	03.01.2014, 19:06	7
Большой Лебовски (1998)	The Big Lebowski	13.11.2013, 22:09	10
Джуно (2007)	Juno	02.11.2013, 21:26	8
Соланин (2010)	Soranin	02.11.2013, 01:52	9
Побег из Нью-Йорка (1981)	Escape from New York	29.10.2013, 22:18	9
Тор (2011)	Thor	19.09.2013, 16:39	8
Первый мститель (2011)	Captain America: The First Avenger	19.09.2013, 13:21	7
Мстители (2012)	The Avengers	18.09.2013, 12:45	9
Лицо со шрамом (1983)	Scarface	11.09.2013, 23:20	9
Доктор Ноу (1962)	Dr. No	09.09.2013, 22:31	8
За Маркса... (2012)	 	07.09.2013, 23:25	9
Великий Гэтсби (2013)	The Great Gatsby	25.08.2013, 23:48	8
Тусовщики из супермаркета (1995)	Mallrats	13.08.2013, 20:45	10
Клерки 2 (2006)	Clerks II	13.08.2013, 20:44	9
Зак и Мири снимают порно (2008)	Zack and Miri Make a Porno	13.08.2013, 20:44	9
Девушка из Джерси (2004)	Jersey Girl	13.08.2013, 20:42	8
Очень страшное кино 5 (2013)	Scary Movie 5	13.08.2013, 20:41	5
В погоне за Эми (1996)	Chasing Amy	07.08.2013, 00:10	9
Клерки (1994)	Clerks.	04.08.2013, 21:54	7
Отвязные каникулы (2012)	Spring Breakers	24.06.2013, 01:08	6
Мальчишник 2: Из Вегаса в Бангкок (2011)	The Hangover Part II	06.06.2013, 00:45	7
Мальчишник в Вегасе (2009)	The Hangover	05.06.2013, 22:23	8
21 и больше (2013)	21 & Over	03.06.2013, 01:54	7
Стартрек: Возмездие (2013)	Star Trek Into Darkness	14.05.2013, 22:49	9
Звездный путь (2009)	Star Trek	14.05.2013, 07:53	8
Чужие (1986)	Aliens	12.05.2013, 22:12	9
Чужой (1979)	Alien	11.05.2013, 00:38	8
