name_ru	name_eng	date	vote
Малышка на миллион (2004)	Million Dollar Baby	31.05.2020, 18:52	9
11:14 (2003)	11:14	31.05.2020, 17:44	7
Мосты округа Мэдисон (1995)	The Bridges of Madison County	31.05.2020, 13:08	8
Бартон Финк (1991)	Barton Fink	30.05.2020, 22:46	8
Мать слёз (2007)	La terza madre	29.05.2020, 23:01	6
Преисподняя (1979)	Inferno	28.05.2020, 23:28	6
Альпы (2011)	Alpeis	27.05.2020, 19:23	7
Птица с хрустальным оперением (1970)	L'uccello dalle piume di cristallo	26.05.2020, 23:07	7
Путешествие на Луну (1902)	Le Voyage dans la lune	26.05.2020, 12:50	8
Беги (сериал, 2020)	Run	26.05.2020, 00:19	8
Девушка в лабиринте (2019)	L'uomo del labirinto	25.05.2020, 22:52	6
Джалло (2008)	Giallo	24.05.2020, 22:41	6
Кровь и черные кружева (1964)	6 donne per l'assassino	23.05.2020, 22:57	7
Капоне. Лицо со шрамом (2020)	Capone	22.05.2020, 21:51	4
Чистота (сериал, 2019)	Pure	22.05.2020, 12:58	8
Человек-невидимка (2020)	The Invisible Man	20.05.2020, 23:17	8
Тригонометрия (сериал, 2020 – ...)	Trigonometry	20.05.2020, 17:49	7
Дневная красавица (1967)	Belle de jour	18.05.2020, 22:31	7
Конформист (1970)	Il conformista	16.05.2020, 23:19	8
Заговор против Америки (мини-сериал, 2020 – ...)	The Plot Against America	15.05.2020, 23:49	8
Один против всех (1998)	Seul contre tous	15.05.2020, 21:17	7
Германия, год нулевой (1948)	Germania anno zero	14.05.2020, 20:42	7
Извините, мы вас не застали (2019)	Sorry we missed you	13.05.2020, 22:52	8
Дрожь (1982)	Tenebre	11.05.2020, 23:50	8
Красная королева убивает семь раз (1972)	La dama rossa uccide sette volte	10.05.2020, 22:39	7
Дорогой мой человек (1958)	 	09.05.2020, 16:43	7
Проверка на дорогах (1971)	 	08.05.2020, 19:08	8
Эквилибриум (2002)	Equilibrium	08.05.2020, 00:56	8
Кроваво-красное (1975)	Profondo rosso	08.05.2020, 00:52	7
Плеть и тело (1963)	La frusta e il corpo	06.05.2020, 21:31	6
Умница Уилл Хантинг (1997)	Good Will Hunting	05.05.2020, 21:25	9
Девушка, которая слишком много знала (1963)	La ragazza che sapeva troppo	04.05.2020, 22:35	6
